brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Giorgio Armani,Armani Privé - Rose d'Arabie,https://www.parfumo.com/Perfumes/Giorgio_Armani/Armani_Prive_Rose_d_Arabie,UNISEX,371,8.0,598,,,,,,https://media.parfumo.com/perfumes/c8/c89da6-armani-prive-rose-d-arabie-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,White Suede Eau de Parfum,https://www.parfumo.com/Perfumes/Tom_Ford/White_Suede,UNISEX,372,8.0,601,,,,,,https://media.parfumo.com/perfumes/95/957f14-white-suede-eau-de-parfum-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Oud Ispahan Eau de Parfum,https://www.parfumo.com/Perfumes/Dior/oud-ispahan-eau-de-parfum,UNISEX,373,7.6,814,,,,,,https://media.parfumo.com/perfumes/11/1101cd-oud-ispahan-eau-de-parfum-dior_1200.jpg?width=240&aspect_ratio=1:1,
Maison Francis Kurkdjian,Oud Eau de Parfum,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud,UNISEX,374,7.7,754,,,,,,https://media.parfumo.com/perfumes/c9/c9e938-oud-eau-de-parfum-maison-francis-kurkdjian_1200.jpg?width=240&aspect_ratio=1:1,
Hermès,Eau de Rhubarbe Écarlate,https://www.parfumo.com/Perfumes/Hermes/Eau_de_Rhubarbe_Ecarlate,UNISEX,375,8.0,607,,,,,,https://media.parfumo.com/perfumes/1d/1dbc1b-eau-de-rhubarbe-ecarlate-hermes_1200.jpg?width=240&aspect_ratio=1:1,
Montale,Dark Vanilla,https://www.parfumo.com/Perfumes/Montale/dark-vanilla,UNISEX,376,8.1,552,,,,,,https://media.parfumo.com/perfumes/8b/8b4dec-dark-vanilla-montale_1200.jpg?width=240&aspect_ratio=1:1,
bdk Parfums,Villa Néroli,https://www.parfumo.com/Perfumes/bdk_Parfums/villa-neroli,UNISEX,377,8.1,544,,,,,,https://media.parfumo.com/perfumes/6c/6c4d93-villa-neroli-bdk-parfums_1200.jpg?width=240&aspect_ratio=1:1,
Sora Dora,Mandorle Extrait de Parfum,https://www.parfumo.com/Perfumes/sora-dora/mandorle-extrait-de-parfum,UNISEX,378,8.1,534,,,,,,https://media.parfumo.com/perfumes/2a/2a86a2-mandorle-extrait-de-parfum-sora-dora_1200.jpg?width=240&aspect_ratio=1:1,
Afnan Perfumes,Supremacy in Oud,https://www.parfumo.com/Perfumes/Afnan_Perfumes/supremacy-in-oud,UNISEX,379,8.1,549,,,,,,https://media.parfumo.com/perfumes/dd/ddf26d-supremacy-in-oud-afnan-perfumes_1200.jpg?width=240&aspect_ratio=1:1,
Prada,Infusion d'Iris (2015) Eau de Parfum,https://www.parfumo.com/Perfumes/Prada/Infusion_d_Iris_Eau_de_Parfum_2015,UNISEX,380,8.1,533,,,,,,https://media.parfumo.com/perfumes/56/56b9ad-infusion-d-iris-eau-de-parfum-2015-prada_1200.jpg?width=240&aspect_ratio=1:1,
Editions de Parfums Frédéric Malle,Bigarade Concentrée,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/Bigarade_Concentree,UNISEX,381,8.1,551,,,,,,https://media.parfumo.com/perfumes/75/7546a7-bigarade-concentree-editions-de-parfums-frederic-malle_1200.jpg?width=240&aspect_ratio=1:1,
Maison Crivelli,Oud Stallion,https://www.parfumo.com/Perfumes/Maison_Crivelli/oud-stallion,UNISEX,382,8.2,501,,,,,,https://media.parfumo.com/perfumes/d5/d51fbc-oud-stallion-maison-crivelli_1200.jpg?width=240&aspect_ratio=1:1,
Prada,Infusion d'Amande,https://www.parfumo.com/Perfumes/Prada/Infusion_d_Amande,UNISEX,383,8.2,501,,,,,,https://media.parfumo.com/perfumes/c5/c5c62f-infusion-d-amande-prada_1200.jpg?width=240&aspect_ratio=1:1,
Bond No. 9,Bleecker Street,https://www.parfumo.com/Perfumes/Bond_No_9/Bleecker_Street,UNISEX,384,7.6,778,,,,,,https://media.parfumo.com/perfumes/f3/f35b55-bleecker-street-bond-no-9_1200.jpg?width=240&aspect_ratio=1:1,
Van Cleef & Arpels,Néroli Amara,https://www.parfumo.com/Perfumes/Van_Cleef_Arpels/neroli-amara,UNISEX,385,8.2,491,,,,,,https://media.parfumo.com/perfumes/6d/6de574-neroli-amara-van-cleef-arpels_1200.jpg?width=240&aspect_ratio=1:1,
Armaf,Club de Nuit Sillage Eau de Parfum,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-sillage-eau-de-parfum,UNISEX,386,7.3,1018,,,,,,https://media.parfumo.com/perfumes/87/875b56-club-de-nuit-sillage-eau-de-parfum-armaf_1200.jpg?width=240&aspect_ratio=1:1,
Maison Crivelli,Oud Cadenza,https://www.parfumo.com/Perfumes/Maison_Crivelli/oud-cadenza,UNISEX,387,8.4,419,,,,,,https://media.parfumo.com/perfumes/dc/dcccbc-oud-cadenza-maison-crivelli_1200.jpg?width=240&aspect_ratio=1:1,
Mancera,Aoud Vanille,https://www.parfumo.com/Perfumes/Mancera/Aoud_Vanille,UNISEX,388,8.0,568,,,,,,https://media.parfumo.com/perfumes/8d/8d8fee-aoud-vanille-mancera_1200.jpg?width=240&aspect_ratio=1:1,
Stéphane Humbert Lucas,Mortal Skin,https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/Mortal_Skin,UNISEX,389,8.0,577,,,,,,https://media.parfumo.com/perfumes/cc/cc43f7-mortal-skin-stephane-humbert-lucas_1200.jpg?width=240&aspect_ratio=1:1,
Atkinsons,Shine Despite Everything,https://www.parfumo.com/Perfumes/Atkinsons/shine-despite-everything,UNISEX,390,8.4,425,,,,,,https://media.parfumo.com/perfumes/56/56e7d8-shine-despite-everything-atkinsons_1200.jpg?width=240&aspect_ratio=1:1,
Memo Paris,Irish Leather Eau de Parfum,https://www.parfumo.com/Perfumes/memo-paris/irish-leather-eau-de-parfum,UNISEX,391,7.8,700,,,,,,https://media.parfumo.com/perfumes/0c/0c34bb-irish-leather-eau-de-parfum-memo-paris_1200.jpg?width=240&aspect_ratio=1:1,
Giorgio Armani,Armani Privé - Thé Yulong,https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-prive-the-yulong,UNISEX,392,8.2,505,,,,,,https://media.parfumo.com/perfumes/0b/0bc191-armani-prive-the-yulong-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Aura Perfume,Sublime,https://www.parfumo.com/Perfumes/aura-perfume/sublime-aura-sublime,UNISEX,393,8.3,450,,,,,,https://media.parfumo.com/perfumes/0b/0b71a7-sublime-aura-sublime-aura-perfume-bijon_1200.jpg?width=240&aspect_ratio=1:1,
Roja Parfums,Parfum de la Nuit,https://www.parfumo.com/Perfumes/Roja_Parfums/parfum-de-la-nuit-parfum-de-la-nuit-3,UNISEX,394,8.7,347,,,,,,https://media.parfumo.com/perfumes/9d/9d7ec5-parfum-de-la-nuit-3-roja-parfums_1200.jpg?width=240&aspect_ratio=1:1,
Montale,Ristretto Intense Cafe,https://www.parfumo.com/Perfumes/Montale/Ristretto_Intense_Cafe,UNISEX,395,7.9,601,,,,,,https://media.parfumo.com/perfumes/af/af15b7-ristretto-intense-cafe-montale_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Vanille Fatale,https://www.parfumo.com/Perfumes/Tom_Ford/Vanille_Fatale,UNISEX,396,7.9,601,,,,,,https://media.parfumo.com/perfumes/a6/a6bb83-vanille-fatale-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Nishane,Sultan Vetiver,https://www.parfumo.com/Perfumes/Nishane/Sultan_Vetiver,UNISEX,397,7.9,620,,,,,,https://media.parfumo.com/perfumes/6e/6efc80-sultan-vetiver-nishane_1200.jpg?width=240&aspect_ratio=1:1,
Giorgio Armani,Armani Privé - Bleu Turquoise,https://www.parfumo.com/Perfumes/Giorgio_Armani/Armani_Prive__Bleu_Turquoise,UNISEX,398,7.9,595,,,,,,https://media.parfumo.com/perfumes/e2/e2b172-armani-prive-bleu-turquoise-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Mind Games,French Defense,https://www.parfumo.com/Perfumes/mind-games/french-defense,UNISEX,399,8.1,513,,,,,,https://media.parfumo.com/perfumes/d2/d227f7-french-defense-mind-games_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Tobacolor,https://www.parfumo.com/Perfumes/Dior/tobacolor,UNISEX,400,7.7,730,,,,,,https://media.parfumo.com/perfumes/af/af2da2-tobacolor-dior_1200.jpg?width=240&aspect_ratio=1:1,
