brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Chloé,"Love, Chloé",https://www.parfumo.com/Perfumes/Chloe/Love,WOMEN,175,7.8,547,,,,,,https://media.parfumo.com/perfumes/5e/5e1bfe-love-chloe-chloe_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Aqua Allegoria Herba Fresca,https://www.parfumo.com/Perfumes/Guerlain/Aqua_Allegoria_Herba_Fresca,WOMEN,176,7.7,605,,,,,,https://media.parfumo.com/perfumes/b5/b59190-aqua-allegoria-herba-fresca-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Elie Saab,Girl of Now,https://www.parfumo.com/Perfumes/Elie_Saab/Girl_of_Now,WOMEN,177,7.6,654,,,,,,https://media.parfumo.com/perfumes/95/95563b-girl-of-now-elie-saab_1200.jpg?width=240&aspect_ratio=1:1,
Câline,Madame Chérie,https://www.parfumo.com/Perfumes/caline/madame-cherie,WOMEN,178,8.1,447,,,,,,https://media.parfumo.com/perfumes/86/864462-madame-cherie-caline_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Velvet Orchid Eau de Parfum,https://www.parfumo.com/Perfumes/Tom_Ford/Velvet_Orchid_Eau_de_Parfum,WOMEN,179,7.6,650,,,,,,https://media.parfumo.com/perfumes/38/385038-velvet-orchid-eau-de-parfum-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Forever and ever Dior,https://www.parfumo.com/Perfumes/Dior/Forever_and_Ever_Dior,WOMEN,180,7.9,491,,,,,,https://media.parfumo.com/perfumes/14/1444e1-forever-and-ever-dior-dior_1200.jpg?width=240&aspect_ratio=1:1,
Valentino,Valentino Donna Rosa Verde,https://www.parfumo.com/Perfumes/Valentino/Valentino_Donna_Rosa_Verde,WOMEN,181,8.1,443,,,,,,https://media.parfumo.com/perfumes/43/432146-valentino-donna-rosa-verde-valentino_1200.jpg?width=240&aspect_ratio=1:1,
Issey Miyake,A Drop d'Issey Eau de Parfum,https://www.parfumo.com/Perfumes/Issey_Miyake/a-drop-d-issey-eau-de-parfum,WOMEN,182,7.6,610,,,,,,https://media.parfumo.com/perfumes/1a/1ac105-a-drop-d-issey-eau-de-parfum-issey-miyake_1200.jpg?width=240&aspect_ratio=1:1,
Dior,J'adore Parfum d'Eau,https://www.parfumo.com/Perfumes/Dior/j-adore-parfum-d-eau,WOMEN,183,8.0,474,,,,,,https://media.parfumo.com/perfumes/61/617779-j-adore-parfum-d-eau-dior_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,N°19 Eau de Toilette,https://www.parfumo.com/Perfumes/Chanel/N19_Eau_de_Toilette,WOMEN,184,8.4,350,,,,,,https://media.parfumo.com/perfumes/6e/6e894d-n-19-eau-de-toilette-chanel_1200.jpg?width=240&aspect_ratio=1:1,
Mugler,Aura Eau de Parfum,https://www.parfumo.com/Perfumes/mugler/Aura_Eau_de_Parfum,WOMEN,185,7.3,785,,,,,,https://media.parfumo.com/perfumes/6e/6e5f1f-aura-eau-de-parfum-mugler_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,L'Heure Bleue Eau de Toilette,https://www.parfumo.com/Perfumes/Guerlain/L_Heure_Bleue_Eau_de_Toilette,WOMEN,186,8.6,303,,,,,,https://media.parfumo.com/perfumes/1f/1f99de-l-heure-bleue-eau-de-toilette-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Hermès,Twilly d'Hermès Eau de Parfum,https://www.parfumo.com/Perfumes/Hermes/twilly-d-hermes-eau-de-parfum,WOMEN,187,7.4,702,,,,,,https://media.parfumo.com/perfumes/59/59da93-twilly-d-hermes-eau-de-parfum-hermes_1200.jpg?width=240&aspect_ratio=1:1,
Calvin Klein,Euphoria Eau de Parfum,https://www.parfumo.com/Perfumes/Calvin_Klein/Euphoria,WOMEN,188,7.3,788,,,,,,https://media.parfumo.com/perfumes/e9/e9af23-euphoria-eau-de-parfum-calvin-klein_1200.jpg?width=240&aspect_ratio=1:1,
Rabanne,Olympēa Eau de Parfum,https://www.parfumo.com/Perfumes/Rabanne/Olympea_Eau_de_Parfum,WOMEN,189,7.2,856,,,,,,https://media.parfumo.com/perfumes/21/2100d2-olympea-eau-de-parfum-rabanne_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,Cristalle Eau Verte Eau de Toilette Concentrée,https://www.parfumo.com/Perfumes/Chanel/cristalle-eau-verte-eau-de-toilette-concentree,WOMEN,190,8.1,411,,,,,,https://media.parfumo.com/perfumes/bc/bcf335-cristalle-eau-verte-eau-de-toilette-concentree-chanel_1200.jpg?width=240&aspect_ratio=1:1,
Glossier,You Eau de Parfum,https://www.parfumo.com/Perfumes/Glossier/You,WOMEN,191,7.5,668,,,,,,https://media.parfumo.com/perfumes/c3/c381a7-you-eau-de-parfum-glossier_1200.jpg?width=240&aspect_ratio=1:1,
Guess,Seductive Noir Eau de Toilette,https://www.parfumo.com/Perfumes/Guess/seductive-noir-eau-de-toilette,WOMEN,192,8.1,410,,,,,,https://media.parfumo.com/perfumes/2b/2b46ef-seductive-noir-eau-de-toilette-guess_1200.jpg?width=240&aspect_ratio=1:1,
Kayali,Yum Pistachio Gelato | 33 Eau de Parfum,https://www.parfumo.com/Perfumes/Kayali/yum-pistachio-gelato-33-eau-de-parfum,WOMEN,193,7.2,806,,,,,,https://media.parfumo.com/perfumes/5d/5d9e13-yum-pistachio-gelato-33-eau-de-parfum-kayali_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Shalimar Millésime Iris,https://www.parfumo.com/Perfumes/Guerlain/shalimar-millesime-iris,WOMEN,194,8.3,362,,,,,,https://media.parfumo.com/perfumes/c4/c45b4f-shalimar-millesime-iris-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
